objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long,comment_,lhn_code
661,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ADELAIDE MOTOR CYCLE DIVISION,OPERATIONAL,387 REGENCY ROAD,PROSPECT,SOUTH AUSTRALIA,5082,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.87451583,138.5905711,,,GASA_415419889,387 REGENCY ROAD,1,5082,PROSPECT,0,-34.8745158,138.5905713,,CALHN
543,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALDINGA STATION,OPERATIONAL,186-196 PORT ROAD,ALDINGA,SOUTH AUSTRALIA,5173,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-35.267696,138.482227,,,GASA_425448412,186-196 PORT ROAD,0,5173,ALDINGA,110,-35.26846108,138.4814628,,SALHN
544,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,AMERICAN RIVER STATION,OPERATIONAL,LOT 13 BUICK DRIVE,AMERICAN RIVER,SOUTH AUSTRALIA,5221,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-35.782735,137.769302,,,GASA_425844244,16 BUICK DRIVE,1,5221,AMERICAN RIVER,4,-35.78273595,137.7692596,,BFHLHN
548,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ARDROSSAN DIVISION,OPERATIONAL,NORTH TERRACE,ARDROSSAN,SOUTH AUSTRALIA,5571,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.42093473,137.9163194,,,GASA_719248884,LOT 423 FAIRWAY DRIVE,-1,5571,ARDROSSAN,5,-34.42089172,137.916313,,YNLHN
547,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ARDROSSAN STATION,OPERATIONAL,NORTH TERRACE,ARDROSSAN,SOUTH AUSTRALIA,5571,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.420843,137.916123,,,GASA_719248884,LOT 423 FAIRWAY DRIVE,-1,5571,ARDROSSAN,18,-34.42089172,137.916313,,YNLHN
549,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ARNO BAY DIVISION,OPERATIONAL,ALEXANDRIA TERRACE,ARNO BAY,SOUTH AUSTRALIA,5603,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-33.91278327,136.5691811,,,GASA_424286792,LOT 321 ALEXANDRIA TERRACE,0,5603,ARNO BAY,25,-33.91270425,136.5694295,,EFNLHN
550,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ASHFORD STATION,OPERATIONAL,24-28 ALEXANDER AVENUE,ASHFORD,SOUTH AUSTRALIA,5035,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.946225,138.577191,,,GASA_424345022,24 ALEXANDER AVENUE,1,5035,ASHFORD,61,-34.94661222,138.5767202,,CALHN
551,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BALAKLAVA DIVISION,OPERATIONAL,14 WAR MEMORIAL DRIVE,BALAKLAVA,SOUTH AUSTRALIA,5461,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.14017004,138.4192923,,,GASA_415459379,14 WAR MEMORIAL DRIVE,1,5461,BALAKLAVA,0,-34.14017,138.4192924,,YNLHN
552,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BALAKLAVA STATION,OPERATIONAL,WAR MEMORIAL DRIVE,BALAKLAVA,SOUTH AUSTRALIA,5461,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.140076,138.41888,,,GASA_415459379,14 WAR MEMORIAL DRIVE,1,5461,BALAKLAVA,39,-34.14017,138.4192924,,YNLHN
605,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BAND DIVISION,OPERATIONAL,75 SMART ROAD,MODBURY,SOUTH AUSTRALIA,5092,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.83358654,138.6917235,,,GASA_415235409,75 SMART ROAD,1,5092,MODBURY,0,-34.8335866,138.6917236,,NALHN
554,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BARMERA STATION,OPERATIONAL,LOT 674 LANGDON TERRACE,BARMERA,SOUTH AUSTRALIA,5345,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.252998,140.466475,,,GASA_424185404,LOT 674 LANGDON TERRACE,0,5345,BARMERA,23,-34.25312303,140.4666717,,RMCLHN
546,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BAROSSA DIVISION,OPERATIONAL,27 SCHILLING STREET,ANGASTON,SOUTH AUSTRALIA,5353,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.50329456,139.0523685,,,GASA_415338743,27 SCHILLING STREET,1,5353,ANGASTON,3,-34.5032821,139.0524006,,BFHLHN
545,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BAROSSA VALLEY STATION,OPERATIONAL,27 SCHILLING STREET,ANGASTON,SOUTH AUSTRALIA,5353,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.503329,139.052268,,,GASA_415338743,27 SCHILLING STREET,1,5353,ANGASTON,13,-34.5032821,139.0524006,,BFHLHN
553,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BERRI / BARMERA DIVISION,OPERATIONAL,LOT 674 LANGDON TERRACE,BARMERA,SOUTH AUSTRALIA,5345,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.25310874,140.4666624,,,GASA_424185404,LOT 674 LANGDON TERRACE,0,5345,BARMERA,2,-34.25312303,140.4666717,,RMCLHN
564,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BERRI STATION,OPERATIONAL,LOT 801 CORNWALL STREET,BERRI,SOUTH AUSTRALIA,5343,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.277383,140.601802,,SA AMBULANCE SERVIE,GASA_417038982,25 CORNWALL STREET,1,5343,BERRI,25,-34.27731706,140.6020661,,RMCLHN
565,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BLACKWOOD DIVISION,OPERATIONAL,155 MAIN ROAD,BLACKWOOD,SOUTH AUSTRALIA,5051,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-35.01325699,138.6215716,,,GASA_415471575,155 MAIN ROAD,1,5051,BLACKWOOD,1,-35.01325039,138.6215629,,SALHN
566,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BOOLEROO CENTRE STATION,OPERATIONAL,3-13 STEPHENS STREET,BOOLEROO CENTRE,SOUTH AUSTRALIA,5482,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-32.877038,138.350829,,HOSPITAL,GASA_425452329,3-13 STEPHENS STREET,1,5482,BOOLEROO CENTRE,76,-32.87757512,138.3513373,,YNLHN
567,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BORDERTOWN STATION,OPERATIONAL,SEC 980 TATIARA TERRACE,BORDERTOWN,SOUTH AUSTRALIA,5268,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-36.308215,140.769802,,,GASA_424406152,LOT 980 TATIARA TERRACE,-1,5268,BORDERTOWN,3,-36.30824485,140.7697978,,LCLHN
572,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BROOKLYN PARK STATION,OPERATIONAL,65-69 MORPHETT ROAD,CAMDEN PARK,SOUTH AUSTRALIA,5038,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.966342,138.537372,,SAMFS,GASA_415011985,65-69 MORPHETT ROAD,2,5038,CAMDEN PARK,14,-34.96645212,138.5374451,,CALHN
689,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BURRA STATION,OPERATIONAL,MARKET SQ,BURRA,SOUTH AUSTRALIA,5417,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-33.673361,138.930161,,,,,,,,,,,NO GNAF POINT,YNLHN
571,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CAMDEN PARK STATION,OPERATIONAL,65-69 MORPHETT ROAD,CAMDEN PARK,SOUTH AUSTRALIA,5038,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.966356,138.537363,,SAMFS,GASA_415011985,65-69 MORPHETT ROAD,2,5038,CAMDEN PARK,13,-34.96645212,138.5374451,,SALHN
637,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CAMPBELLTOWN DIVISION,OPERATIONAL,MONTACUTE ROAD,NEWTON,SOUTH AUSTRALIA,5074,HTTP://WWW.STJOHNSA.COM.AU,,HTTP://WWW.STJOHNSA.COM.AU,,,2018-08-18T00:00:00Z,-34.88816374,138.6767238,,,GASA_424318622,LOT 643 MONTACUTE ROAD,0,5074,NEWTON,5,-34.8881556,138.6767737,,CALHN
671,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CAMPBELLTOWN STATION,OPERATIONAL,MONTACUTE ROAD,NEWTON,SOUTH AUSTRALIA,5074,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-34.888205,138.676769,,,GASA_424318622,LOT 643 MONTACUTE ROAD,0,5074,NEWTON,6,-34.8881556,138.6767737,,CALHN
573,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CEDUNA STATION,OPERATIONAL,32 POYNTON STREET,CEDUNA,SOUTH AUSTRALIA,5690,HTTP://WWW.SAAMBULANCE.COM.AU,,HTTP://WWW.SAAMBULANCE.COM.AU,,,2018-08-18T00:00:00Z,-32.127697,133.674022,,,GASA_415071011,32 POYNTON STREET,1,5690,CEDUNA,14,-32.12766135,133.6741614,,EFNLHN
