site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
HOSP-001,Angaston District Hospital,Hospital,Public Hospital,SA Health,29 North Street,Angaston,5353,BHFLHN,,Emergency Service,Public Hospitals
HOSP-002,Balaklava Soldiers' Memorial District Hospital,Hospital,Public Hospital,SA Health,16 War Memorial Drive,Balaklava,5461,YNLHN,,Emergency Service,Public Hospitals
HOSP-003,Barmera Health Service,Hospital,Public Hospital,SA Health,Hawdon Street,Barmera,5345,RMCLHN,,Emergency Service,Public Hospitals
HOSP-004,Booleroo Centre District Hospital and Health Services,Hospital,Public Hospital,SA Health,5-9 Stephens Street,Booleroo Centre,5482,YNLHN,,Emergency Service,Public Hospitals
HOSP-005,Bordertown Memorial Hospital,Hospital,Public Hospital,SA Health,23 South Terrace,Bordertown,5268,LCLHN,,Emergency Service,Public Hospitals
HOSP-006,Burra Hospital,Hospital,Public Hospital,SA Health,46 Commercial Street,Burra,5417,YNLHN,,Emergency Service,Public Hospitals
HOSP-007,Ceduna District Health Service,Hospital,Public Hospital,SA Health,3 Eyre Highway,Ceduna,5690,EFNLHN,,Emergency Service,Public Hospitals
HOSP-008,Central Yorke Peninsula Hospital (Maitland),Hospital,Public Hospital,SA Health,68 Robert Street,Maitland,5573,YNLHN,,Emergency Service,Public Hospitals
HOSP-009,Clare Hospital,Hospital,Public Hospital,SA Health,47 Farrel Flat Road,Clare,5453,YNLHN,,Emergency Service,Public Hospitals
HOSP-010,Cleve District Hospital and Aged Care,Hospital,Public Hospital,SA Health,North Terrace,Cleve,5640,EFNLHN,,Emergency Service,Public Hospitals
HOSP-011,Coober Pedy Hospital and Health Service,Hospital,Public Hospital,SA Health,Lot 89 Hospital Road,Coober Pedy,5723,EFNLHN,,Emergency Service,Public Hospitals
HOSP-012,Cowell District Hospital and Aged Care,Hospital,Public Hospital,SA Health,17 South Terrace,Cowell,5602,EFNLHN,,Emergency Service,Public Hospitals
HOSP-013,Crystal Brook and District Hospital,Hospital,Public Hospital,SA Health,Edmund Terrace,Crystal Brook,5523,YNLHN,,Emergency Service,Public Hospitals
HOSP-014,Cummins and District Memorial Hospital,Hospital,Public Hospital,SA Health,19-21 Tumby Bay Road,Cummins,5631,EFNLHN,,Emergency Service,Public Hospitals
HOSP-015,Elliston Hospital,Hospital,Public Hospital,SA Health,4-6 Memorial Drive,Elliston,5670,EFNLHN,,Emergency Service,Public Hospitals
HOSP-016,Eudunda Hospital,Hospital,Public Hospital,SA Health,40 Ward Street,Eudunda,5374,BHFLHN,,Emergency Service,Public Hospitals
HOSP-017,Flinders Medical Centre,Hospital,Public Hospital,SA Health,Flinders Drive,Bedford Park,5042,SALHN,,Emergency Department,Public Hospitals
HOSP-018,Gawler Health Service,Hospital,Public Hospital,SA Health,21 Hutchinson Road,Gawler East,5118,BHFLHN,,Emergency Department,Public Hospitals
HOSP-019,Glenside Health Services,Hospital,Public Psychiatric Hospital,SA Health,226 Fullarton Road,Glenside,5065,CALHN,,No,Public Hospitals
HOSP-020,Gumeracha District Soldiers' Memorial Hospital,Hospital,Public Hospital,SA Health,2 Albert Street,Gumeracha,5233,BHFLHN,,Emergency Service,Public Hospitals
HOSP-021,Hampstead Rehabilitation Centre,Hospital,Public Rehabilitation Hospital,SA Health,205-207 Hampstead Road,Lightsview,5085,NALHN,,No,Public Hospitals
HOSP-022,Hawker Memorial Hospital,Hospital,Public Hospital,SA Health,9 Druid Range Drive,Hawker,5434,FUNLHN,,Emergency Service,Public Hospitals
HOSP-023,James Nash House,Hospital,Public Psychiatric Hospital,SA Health,140 Hilltop Drive,Oakden,5086,NALHN,,No,Public Hospitals
